segment	gps	isValidSearch	isImpact	isGlitch
1144228507	1144229907.619000	True	True	False
1146428350	1146429821.786000	True	True	False
1147441614	1147442122.400000	True	True	False
1147453083	1147453725.597000	True	True	False
1147692717	1147693043.760000	True	True	False
1147740231	1147741577.734000	True	True	False
1149474616	1149475987.660000	True	True	False
1150509781	1150511110.269000	True	True	False
1151900154	1151901049.167000	True	True	False
1153403832	1153404057.570000	True	True	False
1153749413	1153750662.912000	True	True	False
1154023383	1154024345.367000	True	True	False
1154962607	1154963502.503000	True	True	False
1155460539	1155461605.236000	True	True	False
1155557962	1155558407.130000	True	True	False
1155636738	1155637973.710000	True	True	False
1155677647	1155677821.780000	True	True	False
1155890394	1155891412.800000	True	True	False
1155985087	1155985559.160000	True	True	False
1156019040	1156020426.573000	True	True	False
1156062525	1156063801.384000	True	True	False
1156114488	1156115515.796000	True	True	False
1156187605	1156188047.100000	True	True	False
1156243803	1156244435.680000	True	False	True
1156254679	1156255314.330000	True	True	False
1157098532	1157099400.286000	True	False	True
1157966605	1157966717.730000	True	True	False
1158498155	1158498497.990000	True	False	True
1159735786	1159736213.160000	True	True	False
1159807876	1159808665.740000	True	True	False
1159868497	1159869088.470000	True	True	False
1164554230	1164554412.740000	True	False	True
1164718156	1164719569.514000	True	True	False
1166268341	1166268577.880000	True	True	False
1166336716	1166337501.315000	True	True	False
1166773623	1166774376.101000	True	False	True
1166804005	1166805122.067000	True	True	False
1166921532	1166921604.950000	True	True	False
1166994821	1166995368.880000	True	True	False
1167306440	1167307195.838000	True	True	False
1167613144	1167613478.640000	True	True	False
1167654104	1167654180.120000	True	True	False
1167944424	1167944728.220000	True	True	False
1168060312	1168061759.450000	True	True	False
1168267512	1168267680.230000	True	True	False
1170979317	1170979671.610000	True	True	False
1171010446	1171012017.151500	True	True	False
1176783439	1176783752.490000	True	False	True
1176913705	1176914534.894000	True	True	False
1176916982	1176917343.270000	True	True	False
1178250293	1178251226.174000	True	True	False
1179491929	1179493288.698000	True	True	False
1178196664	1178197245.050000	True	True	False
1178034900	1178035038.460000	True	True	False
1180612840	1180613325.530000	True	True	False
1173290834	1173291241.400000	True	True	False
1177956696	1177956916.230000	True	True	False
1179167203	1179167273.090000	True	True	False
1181271018	1181272382.242000	True	True	False
1178119659	1178120383.690000	True	True	False
